run_id,solver,target,n_features,n_pu,species,n_solutions,cost,time
58,gurobi,0.4,26,37128,"amegfi,barswa,brdowl,belkin1,bkhgro,brncre,cangoo,chbchi,coohaw,eursta,evegro,houwre,pinsis,pasfly,rebnut,rocpig,rufhum,rewbla,sora,sonspa,spotow,towwar,vigswa,whcspa,wlswar,yelwar",1,367677320,3.6599999999998545
59,gurobi,0.5,26,37128,"amegfi,amerob,barswa,bnhcow,brncre,batpig1,chbchi,coohaw,comrav,amecro,eucdov,norfli,houfin,houwre,norhar1,pinsis,pilwoo,purfin,purmar,rufhum,savspa,sora,treswa,whcspa,wlswar,yelwar",1,851943438,4.039999999999964
60,gurobi,0.6,26,37128,"amegfi,amekes,amerob,annhum,barswa,bewwre,bnhcow,bkhgro,brebla,cangoo,eucdov,gockin,macwar,orcwar,pinsis,rebsap,rocpig,sora,swathr,towwar,daejun,yerwar,varthr,warvir,wilsni1,wlswar",1,2050809440,3.4400000000000546
61,gurobi,0.7000000000000001,26,37128,"amegfi,amerob,brdowl,bkhgro,batpig1,bushti,coohaw,amecro,gockin,norhar1,osprey,pasfly,rebnut,redcro,rocpig,rufhum,sora,spotow,stejay,swathr,treswa,yerwar,warvir,whcspa,westan,wlswar",1,3916566892,3.519999999999982
62,gurobi,0.8,26,37128,"amegfi,amerob,baleag,barswa,bnhcow,brncre,cangoo,comrav,dowwoo,eursta,norfli,foxspa,gockin,moudov,pacwre1,pinsis,pasfly,rocpig,rethaw,rewbla,savspa,sonspa,stejay,towwar,vigswa,wilsni1",1,6217023035,3.3999999999998636
63,gurobi,0.9,26,37128,"amegfi,baleag,brdowl,bnhcow,bkhgro,brebla,brncre,comrav,eucdov,gockin,haiwoo,houspa,houwre,macwar,norhar1,orcwar,olsfly,osprey,rebsap,redcro,rethaw,rufhum,sonspa,stejay,whcspa,westan",1,11611187637,3.099999999999909
64,gurobi,0.1,41,37128,"amegfi,amekes,baleag,barswa,bkhgro,brncre,bushti,cangoo,chispa,coohaw,amecro,eucdov,evegro,norfli,foxspa,gockin,houfin,houwre,hutvir,macwar,moudov,norhar1,orcwar,olsfly,pacwre1,pinsis,pilwoo,rebnut,rethaw,rufhum,rewbla,savspa,sonspa,spotow,stejay,treswa,daejun,yerwar,whcspa,westan,wooduc",1,21223499,4.160000000000082
65,gurobi,0.2,41,37128,"amerob,brdowl,belkin1,bewwre,bkhgro,brebla,batpig1,bushti,chbchi,cedwax,chispa,amecro,dowwoo,eursta,evegro,norfli,foxspa,haiwoo,houfin,houspa,hutvir,moudov,norhar1,pacwre1,pinsis,pilwoo,pasfly,rocpig,rethaw,sora,sonspa,spotow,stejay,swathr,daejun,yerwar,varthr,warvir,wilsni1,wooduc,yelwar",1,88820855,4.259999999999991
66,gurobi,0.30000000000000004,41,37128,"amekes,amerob,baleag,belkin1,bewwre,bnhcow,batpig1,cangoo,chbchi,cedwax,coohaw,comrav,dowwoo,evegro,norfli,foxspa,gockin,haiwoo,houfin,houspa,houwre,orcwar,olsfly,osprey,pacwre1,pinsis,pilwoo,purmar,rebnut,rebsap,redcro,rocpig,stejay,swathr,treswa,yerwar,varthr,warvir,westan,wlswar,wooduc",1,222272978,4.289999999999964
67,gurobi,0.4,41,37128,"amegfi,amekes,amerob,baleag,barswa,brdowl,belkin1,bewwre,bkhgro,brebla,brncre,batpig1,cangoo,chbchi,coohaw,comrav,eucdov,norfli,haiwoo,houfin,houwre,hutvir,macwar,norhar1,pacwre1,pasfly,purfin,purmar,redcro,rocpig,rufhum,sonspa,spotow,swathr,treswa,daejun,yerwar,whcspa,westan,wlswar,yelwar",1,430817481,4.309999999999945
